tweet_id,p1,p1_conf,p2,p2_conf,p3,p3_conf,retweet_count,favorite_count,timestamp,text,rating_numerator,name,dog_type
666020888022790149,welsh springer spaniel,0.465074,collie,0.156665,shetland sheepdog,0.0614285,496,2518,2015-11-15 22:32:08 +0000,Here we have a Japanese Irish Setter. Lost eye in Vietnam (?). Big fan of relaxing on stair. 8/10 would pet https://t.co/BLDqew2Ijj,8,None,None
666029285002620928,redbone,0.506826,miniature pinscher,0.07419169999999999,rhodesian ridgeback,0.07201,46,125,2015-11-15 23:05:30 +0000,This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. 7/10 would walk the shit out of https://t.co/r7mOb2m0UI,7,None,None
666033412701032449,german shepherd,0.596461,malinois,0.13858399999999998,bloodhound,0.116197,43,121,2015-11-15 23:21:54 +0000,Here is a very happy pup. Big fan of well-maintained decks. Just look at that tongue. 9/10 would cuddle af https://t.co/y671yMhoiR,9,None,None
666044226329800704,rhodesian ridgeback,0.408143,redbone,0.360687,miniature pinscher,0.222752,136,290,2015-11-16 00:04:52 +0000,This is a purebred Piers Morgan. Loves to Netflix and chill. Always looks like he forgot to unplug the iron. 6/10 https://t.co/DWnyCjf2mx,6,None,None
666049248165822465,miniature pinscher,0.560311,rottweiler,0.243682,doberman,0.154629,42,105,2015-11-16 00:24:50 +0000,Here we have a 1949 1st generation vulpix. Enjoys sweat tea and Fox News. Cannot be phased. 5/10 https://t.co/4B7cOc1EDq,5,None,None
666050758794694657,bernese mountain dog,0.651137,english springer,0.263788,greater swiss mountain dog,0.0161992,57,130,2015-11-16 00:30:50 +0000,This is a truly beautiful English Wilson Staff retriever. Has a nice phone. Privileged. 10/10 would trade lives with https://t.co/fvIbQfHjIe,10,None,None
666055525042405380,chow,0.692517,tibetan mastiff,0.0582794,fur coat,0.0544486,235,426,2015-11-16 00:49:46 +0000,Here is a Siberian heavily armored polar bear mix. Strong owner. 10/10 I would do unspeakable things to pet this dog https://t.co/rdivxLiqEt,10,None,None
666058600524156928,miniature poodle,0.201493,komondor,0.192305,soft-coated wheaten terrier,0.08208610000000001,57,109,2015-11-16 01:01:59 +0000,Here is the Rand Paul of retrievers folks! He's probably good at poker. Can drink beer (lol rad). 8/10 good dog https://t.co/pYAJkAe76p,8,None,None
666063827256086533,golden retriever,0.77593,tibetan mastiff,0.0937178,labrador retriever,0.07242660000000001,212,462,2015-11-16 01:22:45 +0000,This is the happiest dog you will ever see. Very committed owner. Nice couch. 10/10 https://t.co/RhUEAloehK,10,None,None
666071193221509120,gordon setter,0.503672,yorkshire terrier,0.174201,pekinese,0.109454,58,142,2015-11-16 01:52:02 +0000,Here we have a northern speckled Rhododendron. Much sass. Gives 0 fucks. Good tongue. 9/10 would caress sensually https://t.co/ZoL8kq2XFx,9,None,None
666073100786774016,walker hound,0.260857,english foxhound,0.17538199999999998,ibizan hound,0.0974705,158,314,2015-11-16 01:59:36 +0000,Let's hope this flight isn't Malaysian (lol). What a dog! Almost completely camouflaged. 10/10 I trust this pilot https://t.co/Yk6GHE9tOY,10,None,None
